"Language","ISO_code","Phoible_code","Meaning","Form","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","revision","Form_norm","Latitude_fixed","Longitude_fixed"
"Afrikaans","afr","afr","grooved","gegroefde","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",1.7,TRUE,"trill",TRUE,FALSE,"trilled","gegroefde",-31,22
"Afrikaans","afr","afr","velvety","fluweelagtige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-5.3,FALSE,"trill",FALSE,TRUE,"trilled","fluweelagtige",-31,22
"Afrikaans","afr","afr","ribbed","geribde","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",3.4,TRUE,"trill",TRUE,FALSE,"trilled","geribde",-31,22
"Afrikaans","afr","afr","stubbly","stoppelig","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",5,TRUE,"trill",FALSE,TRUE,"trilled","stoppelig",-31,22
"Afrikaans","afr","afr","gnarled","knoestige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",4.4,TRUE,"trill",FALSE,FALSE,"trilled","knoestige",-31,22
"Afrikaans","afr","afr","bony","benige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",2.5,TRUE,"trill",FALSE,FALSE,"trilled","benige",-31,22
"Afrikaans","afr","afr","slippery","glibberige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-6.2,FALSE,"trill",TRUE,TRUE,"trilled","glibberige",-31,22
"Afrikaans","afr","afr","lumpy","klonterig","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",2.9,TRUE,"trill",TRUE,TRUE,"trilled","klonterig",-31,22
"Afrikaans","afr","afr","knobby","knobbelrige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",2.6,TRUE,"trill",TRUE,TRUE,"trilled","knobbelrige",-31,22
"Afrikaans","afr","afr","rough","rowwe","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",6.2,TRUE,"trill",TRUE,FALSE,"trilled","rowwe",-31,22
"Afrikaans","afr","afr","polished","gepoleerde","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-5.3,FALSE,"trill",TRUE,TRUE,"trilled","gepoleerde",-31,22
"Afrikaans","afr","afr","painted","geverf","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-3,FALSE,"trill",TRUE,FALSE,"trilled","geverf",-31,22
