Language,ISO_code,Phoible_code,Meaning,Form,Trill,Dataset,Latitude,Longitude,Family,Branch,Area,Continent,Rough.M,rough,R_type,r,l,revision,Form_norm,Latitude_fixed,Longitude_fixed,CleanForm,CleanFormLength,CleanFormNorm,CleanFormNormLength
Afrikaans,afr,afr,grooved,gegroefde,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,1.7000,True,trill,True,False,trilled,gegroefde,-31.0000,22.0000,gegroefde,9,gegroefde,9
Afrikaans,afr,afr,velvety,fluweelagtige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-5.3000,False,trill,False,True,trilled,fluweelagtige,-31.0000,22.0000,fluwelagtige,12,fluwelagtige,12
Afrikaans,afr,afr,ribbed,geribde,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,3.4000,True,trill,True,False,trilled,geribde,-31.0000,22.0000,geribde,7,geribde,7
Afrikaans,afr,afr,stubbly,stoppelig,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,5.0000,True,trill,False,True,trilled,stoppelig,-31.0000,22.0000,stopelig,8,stopelig,8
Afrikaans,afr,afr,gnarled,knoestige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,4.4000,True,trill,False,False,trilled,knoestige,-31.0000,22.0000,knoestige,9,knoestige,9
Afrikaans,afr,afr,bony,benige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,2.5000,True,trill,False,False,trilled,benige,-31.0000,22.0000,benige,6,benige,6
Afrikaans,afr,afr,slippery,glibberige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-6.2000,False,trill,True,True,trilled,glibberige,-31.0000,22.0000,gliberige,9,gliberige,9
Afrikaans,afr,afr,lumpy,klonterig,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,2.9000,True,trill,True,True,trilled,klonterig,-31.0000,22.0000,klonterig,9,klonterig,9
Afrikaans,afr,afr,knobby,knobbelrige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,2.6000,True,trill,True,True,trilled,knobbelrige,-31.0000,22.0000,knobelrige,10,knobelrige,10
Afrikaans,afr,afr,rough,rowwe,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,6.2000,True,trill,True,False,trilled,rowwe,-31.0000,22.0000,rowe,4,rowe,4
Afrikaans,afr,afr,polished,gepoleerde,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-5.3000,False,trill,True,True,trilled,gepoleerde,-31.0000,22.0000,gepolerde,9,gepolerde,9
